Steps,Return_1k,Return_10k,Label,Gamma
120000,365.709427431504,370.21613960250113,TRPO_gamma_0.95,0.95
200000,353.29460201249896,352.52699430630037,TRPO_gamma_0.95,0.95
320000,299.3558891300037,302.58642092579834,TRPO_gamma_0.95,0.95
400000,284.3795023846487,286.1729164588514,TRPO_gamma_0.95,0.95
520000,276.2724315225163,278.25357116003994,TRPO_gamma_0.95,0.95
600000,271.7841866488904,274.9579292676104,TRPO_gamma_0.95,0.95
720000,269.9654385512621,275.20794512177656,TRPO_gamma_0.95,0.95
800000,279.41081882119204,281.4602510156507,TRPO_gamma_0.95,0.95
920000,286.15146336523827,288.76782411251787,TRPO_gamma_0.95,0.95
1000000,289.16990210907943,287.10946120439166,TRPO_gamma_0.95,0.95
1120000,293.16092345203356,295.7590947813169,TRPO_gamma_0.95,0.95
1200000,289.7359032663438,299.9193725214175,TRPO_gamma_0.95,0.95
1320000,293.9670897441035,292.42043197689964,TRPO_gamma_0.95,0.95
1400000,306.4591839208691,301.7771171761757,TRPO_gamma_0.95,0.95
1520000,307.9579901413797,309.66710085925536,TRPO_gamma_0.95,0.95
1600000,317.24651407140766,322.46054788383975,TRPO_gamma_0.95,0.95
1720000,337.42259244693287,328.1207580069846,TRPO_gamma_0.95,0.95
1800000,368.14020478201707,361.75739582871915,TRPO_gamma_0.95,0.95
1920000,571.9725858407907,608.8798273139693,TRPO_gamma_0.95,0.95
2000000,671.8848135002529,649.1193002781408,TRPO_gamma_0.95,0.95
2120000,671.762182327852,647.8894893331196,TRPO_gamma_0.95,0.95
2200000,699.3153829026285,669.7083238354596,TRPO_gamma_0.95,0.95
2320000,659.677036828168,672.1836591966453,TRPO_gamma_0.95,0.95
2400000,689.9015848065517,707.620549834665,TRPO_gamma_0.95,0.95
2520000,744.7786348036027,710.391313128418,TRPO_gamma_0.95,0.95
2600000,759.1227005252698,712.2866688504514,TRPO_gamma_0.95,0.95
2720000,691.5454661713045,746.1297083236581,TRPO_gamma_0.95,0.95
2800000,859.153050692243,749.8188074184295,TRPO_gamma_0.95,0.95
2920000,716.607624437282,719.777358104539,TRPO_gamma_0.95,0.95
3000000,738.7459056961677,783.4227933468176,TRPO_gamma_0.95,0.95
3120000,784.9898811775711,810.4457027007616,TRPO_gamma_0.95,0.95
3200000,768.4756076846782,771.2421027143755,TRPO_gamma_0.95,0.95
3320000,735.065985357521,734.4070874418571,TRPO_gamma_0.95,0.95
3400000,794.3568808791463,826.3310947608979,TRPO_gamma_0.95,0.95
3520000,725.8411272612982,883.3450155174436,TRPO_gamma_0.95,0.95
3600000,726.8379508257676,741.1478269367128,TRPO_gamma_0.95,0.95
3720000,760.3653408326253,761.8031528363133,TRPO_gamma_0.95,0.95
3800000,810.1362466328499,764.8963863875484,TRPO_gamma_0.95,0.95
3920000,886.1407215058249,852.752893521025,TRPO_gamma_0.95,0.95
4000000,867.9601617243746,829.5202908165647,TRPO_gamma_0.95,0.95
4120000,867.541322305969,950.938983464937,TRPO_gamma_0.95,0.95
4200000,972.3964526883867,938.4759513280526,TRPO_gamma_0.95,0.95
4320000,994.7130741589492,895.3840963532035,TRPO_gamma_0.95,0.95
4400000,944.1749234907408,928.9210366667157,TRPO_gamma_0.95,0.95
4520000,916.7612053663663,967.9229529157589,TRPO_gamma_0.95,0.95
4600000,941.039412644963,893.3216493971482,TRPO_gamma_0.95,0.95
4720000,898.4569944452242,906.2129464153762,TRPO_gamma_0.95,0.95
4800000,893.2176417979426,899.3753213576316,TRPO_gamma_0.95,0.95
4920000,916.1291656776233,940.7701563823761,TRPO_gamma_0.95,0.95
5000000,922.128968020482,1005.7294631686527,TRPO_gamma_0.95,0.95
5120000,1041.2151083548638,1010.4321636411366,TRPO_gamma_0.95,0.95
5200000,1003.1273470203836,1128.6419997301534,TRPO_gamma_0.95,0.95
5320000,1245.923907201239,1274.9841738322043,TRPO_gamma_0.95,0.95
5400000,1314.3212136105747,1213.3178647501531,TRPO_gamma_0.95,0.95
5520000,1088.4939606546973,1172.982013666533,TRPO_gamma_0.95,0.95
5600000,1111.5387854449232,1027.2816754132882,TRPO_gamma_0.95,0.95
5720000,1162.712953518263,1101.1846570911216,TRPO_gamma_0.95,0.95
5800000,1117.586622655866,1027.3210164862269,TRPO_gamma_0.95,0.95
5920000,1042.754526673,1019.6637285333296,TRPO_gamma_0.95,0.95
6000000,1024.3735088714855,1142.7153882486625,TRPO_gamma_0.95,0.95
6120000,1182.160182247335,1254.2864523735602,TRPO_gamma_0.95,0.95
6200000,1209.846279798822,1134.2468274666153,TRPO_gamma_0.95,0.95
6320000,1123.1599511341997,1124.9721820980562,TRPO_gamma_0.95,0.95
6400000,1164.0883648786807,1090.2112224284176,TRPO_gamma_0.95,0.95
6520000,1282.298949825699,1238.0374915370164,TRPO_gamma_0.95,0.95
6600000,1206.7572842331508,1105.0384229373667,TRPO_gamma_0.95,0.95
